Месторождение;Скв.;Пласт;Лабораторный №;Кпр, мД;Кп, %;0.001;0.016;0.027;0.047;0.081;0.139;0.238;0.406;0.7;1.2
Чудесное;1;VI-2;1;38;36.5;100;96.13;95.13;93.1;89.29;81.1;72.04;64.74;59.34;56.31
Чудесное;1;VI-2;2;16.8;35.8;100;96.28;95.4;94.5;92.4;88.74;79.58;71.16;65.42;62.01
Чудесное;1;VI-2;3;12.3;34.0;100;97.49;96.49;95.23;93.53;89.53;82.04;72.66;65.9;62.9
Чудесное;1;VI-2;4;51;36.8;100;94.43;93.4;91.48;85.23;75.49;66.59;60.4;56.4;54.3
Чудесное;1;VI-2;5;38;37.0;100;94.7;93.7;92.25;89.04;79.35;69.12;61.31;56.15;53.15
Чудесное;1;VI-2;6;165;38.4;100;97.2;94.89;87.19;74.05;61.29;51.32;43.95;38.44;34.54
Чудесное;1;VI-2;7;19.4;36.3;100;97.03;96.03;94.74;92.08;85.11;74.04;65.66;59.26;54.67
Чудесное;1;VI-2;8;42;36.3;100;94.22;93.22;91.54;87.09;75.56;63.86;54.65;48.12;45.12
Чудесное;2;VII;9;39;34.5;100;94.67;93.67;91.57;87.96;81.07;71.95;64.49;59.39;56.39
Чудесное;2;VII;10;68;36.7;100;97.8;95.93;92.1;84.15;74.79;66.27;60.57;56.62;54.09
Чудесное;2;VII;11;6.1;35.5;100;97.86;97.2;96.4;95.3;92;85.91;78.1;73.6;71.06
Чудесное;2;VII;12;8.2;37.0;100;97.01;96.1;94.9;93.39;90.39;81.81;73.06;65.74;61.89
Чудесное;2;VII;13;9.8;38.0;100;99.05;98.1;97.3;94.92;90.64;82.19;75.94;71.66;68.81
Чудесное;2;VII;14;5.2;36.2;100;99.01;98.5;97.9;96.58;93.46;86.74;80.20;75.65;72.61
Чудесное;2;VII;15;11.9;34.9;100;96.09;95.09;93.38;90.92;86.86;77.9;71.23;66.82;64.56
Чудесное;2;VII;16;9.3;36.9;100;97.5;96.8;95.9;94.69;92.14;85.17;75.76;68.66;64.8
Чудесное;2;VII;17;194;38.4;100;94.52;90.52;79.14;68;59.58;52.47;47.57;43.97;41.41
Чудесное;2;VIII;18;74;39.5;100;95.47;94.03;92.13;85.54;74.92;64.66;56.32;50.6;47.6
Чудесное;2;VIII;19;873;36.5;100;82.83;69.15;56.51;45.5;37.36;31.88;28.22;26.19;24.76
Чудесное;2;VIII;20;6.4;36.1;100;98.65;98.1;96.9;95.81;93;87.74;80.20;72.64;67.69
Чудесное;2;VIII;21;47;38.9;100;97.23;96.67;95.52;90.26;78.77;69.69;62.69;57.93;54.93
Чудесное;2;VIII;22;104;37.1;100;98.43;95.69;89.92;77.29;66.11;57.43;50.84;46.04;43.04
Чудесное;2;VIII;23;214;37.1;100;91.06;88.32;82.62;70.42;58.43;49.45;42.87;38.19;35.03
Чудесное;1;VIII-2;24;63;36.0;100;96.33;94.83;92.19;83.05;68.35;57.42;49.22;43.76;40.76
Чудесное;1;VIII-2;25;8.8;36.7;100;97.97;97.5;96.5;95.57;91.62;81.46;72.98;67.1;64.22
Чудесное;1;IX-X;26;276;37.0;100;94.07;88.1;78.18;67.06;58.6;51.94;46.3;42.02;39.02
Чудесное;1;IX-X;27;30;38.7;100;97.6;96.7;95.4;92.01;83.3;72.43;63.62;57.1;53.52
Чудесное;1;IX-X;28;375;36.4;100;88.38;82.58;71.12;60.81;53.47;47.01;41.83;38.02;35.44
Чудесное;1;IX-X;29;306;37.6;100;92.89;87.94;76.66;66.34;57.73;50.29;44.71;39.94;36.61
Чудесное;1;IX-X;30;41;35.5;100;98.81;97.81;95.26;89.91;81.94;73.97;66.22;61.08;58.08
Чудесное;1;IX-X;31;169;35.7;100;97.68;94.07;88.2;79.36;69.87;60.38;53.4;47.29;43.42
Чудесное;1;IX-X;32;333;37.3;100;89.17;80.2;68.45;58.96;52.01;46.1;41.17;37.71;35.02
Чудесное;1;IX-X;33;20.5;37.6;100;96.8;96.17;94.97;92.94;89.06;81.85;75.1;69.51;65.85
Чудесное;1;IX-X;34;202;38.5;100;93.71;89.79;80.09;68.26;58.16;50.36;44;39.11;35.83
Чудесное;1;IX-X;35;253;38.6;100;91.85;87.83;78.7;67.32;58.35;50.86;44.93;40.14;36.97
Чудесное;1;IX-X;36;108;39.2;100;96.16;94.52;90.85;82.73;70.83;61.45;54.04;48.1;44.24
Чудесное;1;IX-X;37;76;37.8;100;96.01;94.26;91.09;83.94;71.69;59.8;51;45;41.44
Чудесное;1;IX-X;38;52;36.2;100;98.92;97.92;95.91;91.86;83.34;74.81;67.12;62.05;59.05
Чудесное;1;XVI-XVII;39;28;33.0;100;97.96;97.1;95.2;91.14;83.45;76.18;70.12;65.8;62.8
Чудесное;1;XVI-XVII;40;366;34.3;100;88.58;81.58;67.73;56.75;48.88;43.2;39.66;36.67;34.83
Чудесное;1;XVI-XVII;41;154;35.4;100;92.94;89.33;81.17;70.14;61.17;54.85;50.93;48.31;46.62
Чудесное;1;XVI-XVII;42;258;33.9;100;90.44;87.26;77.42;66.93;57.95;51.48;46.49;42.44;40.28
Чудесное;1;XVI-XVII;43;720;36.2;100;81.3;70.52;57.34;47.65;40.7;35.57;31.85;29.75;28.26
Чудесное;1;XVI-XVII;44;129;34.0;100;96.48;94.61;88.8;78.21;68.11;59.68;53.29;48.75;46.17
Чудесное;1;XVI-XVII;45;20.3;35.1;100;98.19;97.28;96;92.06;85.13;76.87;71.26;67.84;65.42
Чудесное;1;XVI-XVII;46;14.2;33.0;100;97.21;96.39;95;91.37;85.17;76.53;70;64.53;61.53
Чудесное;1;XVI-XVII;47;6.0;34.7;100;99.05;98.18;97.3;96.24;92.92;87.59;80.46;74.74;71.84
Чудесное;1;XVI-XVII;48;51;35.4;100;97.7;96.26;93.46;88.12;79.08;70.75;65.02;61.39;59.31
Чудесное;1;XVI-XVII;49;41;34.3;100;96.64;94.77;90.92;82.99;71.73;64.28;59.06;55.18;53.07
Чудесное;1;XIX;50;56;33.5;100;97.21;95.34;92.53;81.87;69.31;59.66;52.5;48.47;46.11
Чудесное;1;XIX;51;28;33.6;100;95.71;94.69;93.27;90.48;83.42;72.86;64.11;58.47;55.47
Чудесное;1;XIX;52;262;34.2;100;90.52;84.82;72.32;60.41;51.78;46.26;42.25;39.55;37.86
Чудесное;1;XIX;53;19.6;30.7;100;98.01;96.55;95.13;92.31;86.85;77.27;68.05;60.07;55.47
Чудесное;1;XIX;54;5.5;30.1;100;98.93;98.1;97.5;97.02;94.98;89.44;81.34;74.14;68.89
Чудесное;1;XIX;55;7.2;28.9;100;98.28;97.3;96.1;95.32;93.4;90.27;83.2;76;71.64
Чудесное;1;XIX;56;16.0;31.9;100;98.11;96.66;95.36;91.71;86.18;77.66;70.86;65.39;62.39
Чудесное;1;XIX;57;153;33.4;100;93.81;90.66;83.82;69.86;57.06;47.77;40.3;35.1;32.1
Чудесное;1;XIX;58;188;33.7;100;94.23;91.07;81.61;66.31;54.85;46.5;40.14;35.96;33.4
Чудесное;1;XIX;59;46;33.7;100;97.07;96.2;94.27;90.67;80.63;71.67;65.45;61.02;58.45
